accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
MT246488.1,Severe acute respiratory syndrome coronavirus 2,29842,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW231/2020,Homo sapiens,NA,09-JUN-2020,3
MT246480.1,Severe acute respiratory syndrome coronavirus 2,29904,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW223/2020,Homo sapiens,NA,09-JUN-2020,3
MT259253.1,Severe acute respiratory syndrome coronavirus 2,29813,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW261/2020,Homo sapiens,NA,01-OCT-2020,3
MT262900.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,5' sequence is the sequencing primer used,SARS-CoV-2/human/USA/WA-CDC-3073629-001/2020,Homo sapiens,nasopharyngeal and oropharyngeal swab,08-NOV-2021,3
MT263414.1,Severe acute respiratory syndrome coronavirus 2,29830,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW334/2020,Homo sapiens,NA,01-OCT-2020,3
MT262901.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,5' sequence is the sequencing primer used,SARS-CoV-2/human/USA/WA-CDC-3073634-001/2020,Homo sapiens,nasopharyngeal and oropharyngeal swab,08-NOV-2021,3
MT263434.1,Severe acute respiratory syndrome coronavirus 2,29790,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW354/2020,Homo sapiens,NA,01-OCT-2020,3
MT262907.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,5' sequence is the sequencing primer used,SARS-CoV-2/human/USA/WA-CDC-3073646-001/2020,Homo sapiens,nasopharyngeal and oropharyngeal swab,08-NOV-2021,3
MT253710.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-91/2020,Homo sapiens,sputum,21-MAY-2020,3
MT253708.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-79/2020,Homo sapiens,sputum,21-MAY-2020,3
MT253702.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-49/2020,Homo sapiens,sputum,21-MAY-2020,3
MT253698.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-185/2020,Homo sapiens,sputum,21-MAY-2020,3
MT121215.1,Severe acute respiratory syndrome coronavirus 2,29945,2020/04/06,NA,NA,passage details: Vero,SARS-CoV-2/human/CHN/SH01/2020,Homo sapiens,throat swab,06-APR-2020,3
MT291834.1,Severe acute respiratory syndrome coronavirus 2,29865,2020/04/06,NA,NA,NA,SARS-CoV-2/human/CHN/Beijing_IME-BJ04/2020,Homo sapiens,throat swab,14-MAY-2020,3
MT293159.1,Severe acute respiratory syndrome coronavirus 2,29890,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1304/2020,Homo sapiens,NA,01-OCT-2020,3
MT293210.1,Severe acute respiratory syndrome coronavirus 2,29871,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1578/2020,Homo sapiens,NA,27-MAY-2020,3
MT293186.1,Severe acute respiratory syndrome coronavirus 2,29865,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1314/2020,Homo sapiens,NA,01-OCT-2020,3
MT358722.1,Severe acute respiratory syndrome coronavirus 2,29902,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3942/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT358712.1,Severe acute respiratory syndrome coronavirus 2,29833,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3903/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT358677.1,Severe acute respiratory syndrome coronavirus 2,29831,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3814/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT358661.1,Severe acute respiratory syndrome coronavirus 2,29873,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/OR-UW-4300/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT359865.1,Severe acute respiratory syndrome coronavirus 2,29890,2020/04/20,NA,NA,NA,SARS-CoV-2/human/ESP/VH000001133/2020,Homo sapiens,nasopharyngeal swab,20-APR-2020,3
MT358671.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-4335/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT358729.1,Severe acute respiratory syndrome coronavirus 2,29823,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3969/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT334540.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/04/14,NA,NA,NA,SARS-CoV-2/human/USA/UT-00022/2020,Homo sapiens,NA,14-APR-2020,3
MT334538.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/14,NA,NA,NA,SARS-CoV-2/human/USA/UT-00020/2020,Homo sapiens,NA,14-APR-2020,3
MT304490.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/TX-CDC-03065163-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT304476.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/South Korea/UN-CDC-03066200-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT304488.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/RI-CDC-03065076-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT304479.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/GA-CDC-03066838-001/2020,Homo sapiens,throat (oropharyngeal) swab,08-NOV-2021,3
MT304481.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/GA-CDC-03066152-001/2020,Homo sapiens,throat (oropharyngeal) swab,08-NOV-2021,3
MT304475.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/South Korea/UN-CDC-03066201-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT304484.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/07,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/NH-CDC-03065707-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT350275.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082655-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT350282.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/17,NA,NA,NA,SARS-CoV-2/human/BRA/SP02cc/2020,Homo sapiens,NA,17-APR-2020,3
MT350246.1,Severe acute respiratory syndrome coronavirus 2,29851,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0056/2020,Homo sapiens,NA,17-APR-2020,3
MT350255.1,Severe acute respiratory syndrome coronavirus 2,29858,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0066/2020,Homo sapiens,NA,17-APR-2020,3
MT350267.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082636-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT350250.1,Severe acute respiratory syndrome coronavirus 2,29865,2020/04/17,NA,NA,NA,SARS-CoV-2/human/USA/VA-DCLS-0060/2020,Homo sapiens,NA,17-APR-2020,3
MT350266.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082633-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT350280.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/17,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-3082667-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT412256.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/04/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-5203/2020,Homo sapiens,NP/OP swab,27-MAY-2020,3
MT385454.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB072/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT385425.1,Severe acute respiratory syndrome coronavirus 2,29899,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB046/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT385467.1,Severe acute respiratory syndrome coronavirus 2,29842,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0156/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT385464.1,Severe acute respiratory syndrome coronavirus 2,29851,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB0701/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT385443.1,Severe acute respiratory syndrome coronavirus 2,29881,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB078/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT385422.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/04/27,NA,NA,NA,SARS-CoV-2/human/USA/CA-CZB084/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,21-MAY-2020,3
MT322408.1,Severe acute respiratory syndrome coronavirus 2,29866,2020/04/11,NA,NA,EPI_ISL_420028,SARS-CoV-2/human/USA/VA-DCLS-0018/2020,Homo sapiens,NA,11-APR-2020,3
MT322395.1,Severe acute respiratory syndrome coronavirus 2,29867,2020/04/11,NA,NA,EPI_ISL_418956,SARS-CoV-2/human/USA/VA-DCLS-0002/2020,Homo sapiens,NA,11-APR-2020,3
MT322404.1,Severe acute respiratory syndrome coronavirus 2,29865,2020/04/11,NA,NA,EPI_ISL_419263,SARS-CoV-2/human/USA/VA-DCLS-0011/2020,Homo sapiens,NA,11-APR-2020,3
MT322401.1,Severe acute respiratory syndrome coronavirus 2,29900,2020/04/11,NA,NA,EPI_ISL_419260,SARS-CoV-2/human/USA/VA-DCLS-0008/2020,Homo sapiens,NA,11-APR-2020,3
MT325572.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/13,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/GA-CDC-03068327-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT325635.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/13,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/MA-CDC-03068165-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT326058.1,Severe acute respiratory syndrome coronavirus 2,29830,2020/04/13,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1930/2020,Homo sapiens,NP/OP swab,13-JUN-2022,3
MT325628.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/13,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/VA-CDC-03068050-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT375474.1,Severe acute respiratory syndrome coronavirus 2,29890,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/CT-UW-5073/2020,Homo sapiens,NP/OP swab,24-APR-2020,3
MT375467.1,Severe acute respiratory syndrome coronavirus 2,29729,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-4999/2020,Homo sapiens,NP/OP swab,24-APR-2020,3
MT375437.1,Severe acute respiratory syndrome coronavirus 2,29853,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-4593/2020,Homo sapiens,NP/OP swab,24-APR-2020,3
MT374116.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/04/24,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-20/2020,Homo sapiens,throat swab,24-APR-2020,3
MT345870.1,Severe acute respiratory syndrome coronavirus 2,29840,2020/04/16,NA,NA,NA,SARS-CoV-2/human/USA/CT-UW-4347/2020,Homo sapiens,NA,27-MAY-2020,3
MT345879.1,Severe acute respiratory syndrome coronavirus 2,29847,2020/04/16,NA,NA,NA,SARS-CoV-2/human/USA/ID-UW-4396/2020,Homo sapiens,NA,27-MAY-2020,3
MT344945.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/16,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/GA-CDC-03067791-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,3
MT345876.1,Severe acute respiratory syndrome coronavirus 2,29825,2020/04/16,NA,NA,NA,SARS-CoV-2/human/USA/ID-UW-4378/2020,Homo sapiens,NA,27-MAY-2020,3
MT483556.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,NA,SARS-CoV-2/human/IND/GBRC82a/2020,Homo sapiens,NA,19-MAY-2020,3
MT270105.1,Severe acute respiratory syndrome coronavirus 2,29860,2020/05/20,NA,NA,NA,SARS-CoV-2/human/DEU/BavPat5-ChVir1248/2020,Homo sapiens,NA,19-MAY-2020,3
MT270106.1,Severe acute respiratory syndrome coronavirus 2,29864,2020/05/20,NA,NA,NA,SARS-CoV-2/human/DEU/BavPat7-ChVir1289/2020,Homo sapiens,NA,19-MAY-2020,3
MT496989.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,BJ65,SARS-CoV-2/human/IND/GBRC63/2020,Homo sapiens,NA,20-MAY-2020,3
MT192765.1,Severe acute respiratory syndrome coronavirus 2,29829,2020/05/20,NA,NA,NA,SARS-CoV-2/human/USA/PC00101P/2020,Homo sapiens,NA,20-MAY-2020,3
MT483555.1,Severe acute respiratory syndrome coronavirus 2,29757,2020/05/20,NA,NA,NA,SARS-CoV-2/human/IND/GBRC79a/2020,Homo sapiens,NA,19-MAY-2020,3
MT481904.1,Severe acute respiratory syndrome coronavirus 2,29800,2020/05/20,NA,NA,GNR122,SARS-CoV-2/human/IND/GBRC89/2020,Homo sapiens,NA,20-MAY-2020,3
