accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
MT126808.1,Severe acute respiratory syndrome coronavirus 2,29876,2020/03/02,NA,NA,patient traveled from Switzerland and Italy (Milan) to Brazil,SARS-CoV-2/human/BRA/SP02/2020,Homo sapiens,nasopharyngeal swab,06-APR-2020,2
MT188341.1,Severe acute respiratory syndrome coronavirus 2,29835,2020/03/13,NA,NA,NA,USA/MN1-MDH1/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,13-MAR-2020,2
MT188340.1,Severe acute respiratory syndrome coronavirus 2,29845,2020/03/13,NA,NA,NA,USA/MN2-MDH2/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,13-MAR-2020,2
MT188339.1,Severe acute respiratory syndrome coronavirus 2,29783,2020/03/13,NA,NA,NA,USA/MN3-MDH3/2020,Homo sapiens,nasopharyngeal/oropharyngeal swab,13-MAR-2020,2
MT159722.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3055015- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT159721.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3054940- 001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,2
MT159720.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3054899- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT159719.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03053578- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT159712.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3057405- 001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,2
MT159711.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03054873- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT159709.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-3054616- 001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,2
MT159707.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052614- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT159706.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/09,NA,NA,5' sequence is sequencing primer,SARS-CoV-2/human/USA/Cruise-CDC-03052607- 001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT246478.1,Severe acute respiratory syndrome coronavirus 2,29889,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW221/2020,Homo sapiens,NA,09-JUN-2020,2
MT246450.1,Severe acute respiratory syndrome coronavirus 2,29872,2020/03/26,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW193/2020,Homo sapiens,NA,27-MAY-2020,2
MT263394.1,Severe acute respiratory syndrome coronavirus 2,29697,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW313/2020,Homo sapiens,NA,15-SEP-2020,2
MT263457.1,Severe acute respiratory syndrome coronavirus 2,29801,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW378/2020,Homo sapiens,NA,01-OCT-2020,2
MT263425.1,Severe acute respiratory syndrome coronavirus 2,29841,2020/03/31,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW345/2020,Homo sapiens,NA,01-OCT-2020,2
MT262903.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,5' sequence is the sequencing primer used,SARS-CoV-2/human/USA/WA-CDC-3073639-001/2020,Homo sapiens,nasopharyngeal and oropharyngeal swab,08-NOV-2021,2
MT262910.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/03/31,NA,NA,5' sequence is the sequencing primer used,SARS-CoV-2/human/USA/WA-CDC-3073666-001/2020,Homo sapiens,nasopharyngeal and oropharyngeal swab,08-NOV-2021,2
MT253707.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-638/2020,Homo sapiens,sputum,21-MAY-2020,2
MT253703.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-551/2020,Homo sapiens,sputum,21-MAY-2020,2
MT253704.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-576/2020,Homo sapiens,sputum,21-MAY-2020,2
MT253705.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-60/2020,Homo sapiens,sputum,21-MAY-2020,2
MT253696.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-162/2020,Homo sapiens,sputum,21-MAY-2020,2
MT253699.1,Severe acute respiratory syndrome coronavirus 2,29781,2020/03/27,NA,NA,NA,SARS-CoV-2/human/CHN/HZ-477/2020,Homo sapiens,sputum,21-MAY-2020,2
MT251976.1,Severe acute respiratory syndrome coronavirus 2,29899,2020/03/27,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW240/2020,Homo sapiens,NA,27-MAY-2020,2
MT259286.1,Severe acute respiratory syndrome coronavirus 2,29857,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW296/2020,Homo sapiens,NA,01-OCT-2020,2
MT259252.1,Severe acute respiratory syndrome coronavirus 2,29790,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW260/2020,Homo sapiens,NA,01-OCT-2020,2
MT259241.1,Severe acute respiratory syndrome coronavirus 2,29682,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW249/2020,Homo sapiens,NA,01-OCT-2020,2
MT259282.1,Severe acute respiratory syndrome coronavirus 2,29815,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW292/2020,Homo sapiens,NA,01-OCT-2020,2
MT259226.1,Severe acute respiratory syndrome coronavirus 2,29868,2020/03/30,NA,NA,NA,SARS-CoV-2/human/CHN/Wuhan_OS52/2020,Homo sapiens,oral swab,06-APR-2020,2
MT259266.1,Severe acute respiratory syndrome coronavirus 2,29776,2020/03/30,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW274/2020,Homo sapiens,NA,01-OCT-2020,2
MT308703.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/04/08,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200181/2020,Homo sapiens,NA,08-APR-2020,2
MT308702.1,Severe acute respiratory syndrome coronavirus 2,29834,2020/04/08,NA,NA,NA,SARS-CoV-2/human/USA/UNC_200191/2020,Homo sapiens,NA,08-APR-2020,2
MT293197.1,Severe acute respiratory syndrome coronavirus 2,29619,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1593/2020,Homo sapiens,NA,27-MAY-2020,2
MT293205.1,Severe acute respiratory syndrome coronavirus 2,29833,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1561/2020,Homo sapiens,NA,27-MAY-2020,2
MT293183.1,Severe acute respiratory syndrome coronavirus 2,29871,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1296/2020,Homo sapiens,NA,01-OCT-2020,2
MT293201.1,Severe acute respiratory syndrome coronavirus 2,29846,2020/04/06,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-1611/2020,Homo sapiens,NA,27-MAY-2020,2
MT066176.1,Severe acute respiratory syndrome coronavirus 2,29870,2020/04/06,NA,NA,NA,SARS-CoV-2/NTU02/TWN/human/2020,Homo sapiens,NA,06-APR-2020,2
LC542976.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/22,NA,NA,NA,TKYE6968_2020,Homo sapiens,NA,22-APR-2020,2
MT370518.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/23,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-05/2020,Homo sapiens,nasopharyngeal swab,23-APR-2020,2
MT370874.1,Severe acute respiratory syndrome coronavirus 2,29756,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV08149/2020,Homo sapiens,nasal swab,06-AUG-2020,2
MT371027.1,Severe acute respiratory syndrome coronavirus 2,29724,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV09073/2020,Homo sapiens,nasal swab,23-APR-2020,2
MT370860.1,Severe acute respiratory syndrome coronavirus 2,29724,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV08434/2020,Homo sapiens,nasal swab,06-AUG-2020,2
MT371013.1,Severe acute respiratory syndrome coronavirus 2,29724,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV09102/2020,Homo sapiens,nasal swab,23-APR-2020,2
MT370516.1,Severe acute respiratory syndrome coronavirus 2,29900,2020/04/23,NA,NA,NA,SARS-CoV-2/human/TWN/CGMH-CGU-03/2020,Homo sapiens,nasopharyngeal swab,23-APR-2020,2
MT370909.1,Severe acute respiratory syndrome coronavirus 2,29729,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV08489/2020,Homo sapiens,nasal swab,06-AUG-2020,2
MT370986.1,Severe acute respiratory syndrome coronavirus 2,29713,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV09190/2020,Homo sapiens,nasal swab,23-APR-2020,2
MT370970.1,Severe acute respiratory syndrome coronavirus 2,29716,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV09192/2020,Homo sapiens,nasal swab,23-APR-2020,2
MT371026.1,Severe acute respiratory syndrome coronavirus 2,29723,2020/04/23,NA,NA,passage_history: sequence was derived directly from the original sample material,SARS-CoV-2/human/USA/NY-PV09090/2020,Homo sapiens,nasal swab,23-APR-2020,2
MT252712.1,Severe acute respiratory syndrome coronavirus 2,29777,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW169/2020,Homo sapiens,NA,27-MAY-2020,2
MT252679.1,Severe acute respiratory syndrome coronavirus 2,29832,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW79/2020,Homo sapiens,NA,27-MAY-2020,2
MT252703.1,Severe acute respiratory syndrome coronavirus 2,29790,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW189/2020,Homo sapiens,NA,27-MAY-2020,2
MT252687.1,Severe acute respiratory syndrome coronavirus 2,29796,2020/04/24,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW88/2020,Homo sapiens,NA,27-MAY-2020,2
MT358637.1,Severe acute respiratory syndrome coronavirus 2,29903,2020/04/20,NA,NA,NA,SARS-CoV-2/human/IND/GBRC1/2020,Homo sapiens,NA,20-APR-2020,2
MT114415.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/04/20,NA,NA,NA,SARS-CoV-2/human/HKG/HKU-903b/2020,Homo sapiens,saliva,20-APR-2020,2
MT358696.1,Severe acute respiratory syndrome coronavirus 2,29866,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3858/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT358736.1,Severe acute respiratory syndrome coronavirus 2,29901,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3990/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT358711.1,Severe acute respiratory syndrome coronavirus 2,29844,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3900/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT358664.1,Severe acute respiratory syndrome coronavirus 2,29821,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-4318/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT358723.1,Severe acute respiratory syndrome coronavirus 2,29867,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-3946/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT358743.1,Severe acute respiratory syndrome coronavirus 2,29877,2020/04/20,NA,NA,NA,SARS-CoV-2/human/USA/WA-UW-4068/2020,Homo sapiens,NP/OP swab,27-MAY-2020,2
MT276330.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/FL-CDC-03063111-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT276325.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/WA-CDC-03063125-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT276326.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/GA-CDC-03063100-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,2
MT276329.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/FL-CDC-03063109-001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,2
MT276327.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/04/03,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/GA-CDC-03063103-001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,2
